fips,name,state,bryant17_county,main_source_of_generation_2016,electricity_demand_twh_2016,n_powerplants_2016,solar_generation_mwh_2016,solar_generation_mwh_2018
13179,Liberty County,GA,1,COAL,1,8,11077,19892
13181,Lincoln County,GA,1,COAL,2,11,10643,19157
13183,Long County,GA,1,COAL,1,10,10596,18619
13185,Lowndes County,GA,1,COAL,2,11,11473,19665
13187,Lumpkin County,GA,1,COAL,2,9,11167,19816
13189,McDuffie County,GA,1,COAL,4,11,11295,20480.801
13191,McIntosh County,GA,1,COAL,2,10,11145,19496
13193,Macon County,GA,1,COAL,1,10,10496,19033
13195,Madison County,GA,1,COAL,2,9,10374,19033
13197,Marion County,GA,1,COAL,3,9,10765,19767.801
13199,Meriwether County,GA,1,COAL,2,10,11135,19265
13201,Miller County,GA,0,COAL,3,6,10367,19961
13205,Mitchell County,GA,0,COAL,0,9,11832,20812
13207,Monroe County,GA,0,COAL,1,8,10793,19952
13209,Montgomery County,GA,0,COAL,1,8,11095,20160
13211,Morgan County,GA,0,COAL,4,8,11328,20871
13213,Murray County,GA,0,COAL,2,10,10998,20650
13215,Muscogee County,GA,0,COAL,2,9,10613,20564
13217,Newton County,GA,0,COAL,2,seven,10679,20037
13219,Oconee County,GA,0,COAL,1,8,11227,19858
13221,Oglethorpe County,GA,0,COAL,1,6,10789,19965
13223,Paulding County,GA,0,COAL,1,6,10747,19757
13225,Peach County,GA,0,COAL,2,8,10800,21155
13227,Pickens County,GA,0,COAL,2,seven,10275,19666
13229,Pierce County,GA,0,COAL,2,6,12012,21590
13231,Pike County,GA,0,COAL,2,5,11316,20684
13233,Polk County,GA,0,COAL,3,9,10536,19238
13235,Pulaski County,GA,0,COAL,1,8,12031,21187
13237,Putnam County,GA,0,COAL,3,9,10701,20059
13239,Quitman County,GA,0,COAL,3,8,11439,21254
13241,Rabun County,GA,0,COAL,2,8,10901,19748
13243,Randolph County,GA,0,COAL,2,8,11425,21229
13245,Richmond County,GA,0,COAL,2,seven,11096,20044
13247,Rockdale County,GA,0,COAL,4,8,10853,20886
13249,Schley County,GA,0,COAL,2,6,11105,20555
13251,Screven County,GA,0,COAL,3,seven,11882,20802
13253,Seminole County,GA,0,COAL,1,8,11034,20594
13255,Spalding County,GA,0,COAL,2,seven,10484,18336
13257,Stephens County,GA,0,COAL,1,8,10954,20517
13259,Stewart County,GA,0,COAL,3,9,11381,20276
13261,Sumter County,GA,0,COAL,1,8,11604,21144
13263,Talbot County,GA,0,COAL,1,seven,10825,20568
13265,Taliaferro County,GA,0,COAL,3,8,10686,19020
13267,Tattnall County,GA,0,COAL,2,8,10658,19782
13269,Taylor County,GA,0,COAL,1,9,10396,19773
13271,Telfair County,GA,0,COAL,3,8,11962,21162
13273,Terrell County,GA,0,COAL,1,seven,11832,20891
13275,Thomas County,GA,0,COAL,3,6,10638,20198
13277,Tift County,GA,0,COAL,1,6,11309,18782
13279,Toombs County,GA,0,COAL,1,9,10237,19465
13281,Towns County,GA,0,COAL,1,seven,11069,21230
13283,Treutlen County,GA,0,COAL,1,8,11155,20297
13285,Troup County,GA,0,COAL,1,seven,12050,20916
13287,Turner County,GA,0,COAL,3,6,11309,20187
13289,Twiggs County,GA,0,COAL,2,8,11288,20340
13291,Union County,GA,0,COAL,1,8,11212,20926
13293,Upson County,GA,0,COAL,1,seven,10356,19823
13295,Walker County,GA,0,COAL,1,seven,11401,21711
13297,Walton County,GA,0,COAL,2,8,11564,20802
13299,Ware County,GA,0,COAL,2,9,10558,19619
13301,Warren County,GA,1,GAS,2,10,10836,20012
13303,Washington County,GA,1,GAS,1,9,11671,21535
13305,Wayne County,GA,1,GAS,3,11,11080,19958.6
13307,Webster County,GA,1,GAS,3,10,10870,20091.6
13309,Wheeler County,GA,1,GAS,1,10,11757,20255
13311,White County,GA,1,GAS,0,10,10132,19499
13313,Whitfield County,GA,1,GAS,2,10,10849,19769
13315,Wilcox County,GA,1,GAS,2,9,10563,19378
13317,Wilkes County,GA,1,GAS,3,8,10422,19969.801
13319,Wilkinson County,GA,1,GAS,3,11,11632,20834.801
13321,Worth County,GA,1,GAS,3,9,9589,18556.199
15001,Hawaii County,HI,0,COAL,1,9,10753,20381
15003,Honolulu County,HI,0,COAL,3,8,10390,18944
15005,Kalawao County,HI,0,COAL,2,7,11305,20827
15007,Kauai County,HI,0,COAL,2,7,11945,21138
15009,Maui County,HI,0,COAL,0,6,10391,19828
16001,Ada County,ID,0,COAL,1,7,10694,20577
16003,Adams County,ID,0,COAL,2,6,10111,20365
16005,Bannock County,ID,0,COAL,2,8,11144,19549
16007,Bear Lake County,ID,0,COAL,2,8,10101,18474
16009,Benewah County,ID,0,COAL,1,6,11545,20100
16011,Bingham County,ID,0,COAL,3,7,10803,20047
16013,Blaine County,ID,0,COAL,3,8,10232,18835
16015,Boise County,ID,0,COAL,0,8,10492,19467
16017,Bonner County,ID,0,COAL,1,8,10842,20866
16019,Bonneville County,ID,0,COAL,2,7,11621,21751
16021,Boundary County,ID,0,COAL,0,7,11119,20345
16023,Butte County,ID,0,COAL,2,6,9742,19258
16025,Camas County,ID,0,COAL,2,9,11740,21808
16027,Canyon County,ID,0,COAL,2,7,11152,19505
16029,Caribou County,ID,0,COAL,3,5,10979,19569
16031,Cassia County,ID,0,COAL,3,8,10404,20292
16033,Clark County,ID,0,COAL,3,8,11347,20237
16035,Clearwater County,ID,0,COAL,1,10,11011,20026
16037,Custer County,ID,0,COAL,2,9,11496,20313
16039,Elmore County,ID,0,COAL,3,8,10622,19089
16041,Franklin County,ID,0,COAL,1,7,11264,20381
16043,Fremont County,ID,0,COAL,1,7,10339,19145
16045,Gem County,ID,0,COAL,1,8,10391,19965
16047,Gooding County,ID,0,COAL,1,7,10015,18932
16049,Idaho County,ID,0,COAL,1,8,10529,19888
16051,Jefferson County,ID,0,COAL,0,7,10323,19525
16053,Jerome County,ID,0,COAL,2,8,10369,19798
16055,Kootenai County,ID,0,COAL,1,8,11771,21627
16057,Latah County,ID,0,COAL,2,8,10392,20214
16059,Lemhi County,ID,0,COAL,2,7,10331,20117
16061,Lewis County,ID,0,COAL,2,6,10450,20173
16063,Lincoln County,ID,0,COAL,1,6,10150,19927
16065,Madison County,ID,0,COAL,1,7,11142,20695
16067,Minidoka County,ID,0,COAL,2,6,10937,20183
16069,Nez Perce County,ID,0,COAL,0,9,10427,19336
16071,Oneida County,ID,0,COAL,1,7,10587,19953
16073,Owyhee County,ID,0,COAL,3,5,11043,19933
16075,Payette County,ID,0,COAL,3,8,10969,20450
16077,Power County,ID,0,COAL,1,7,10946,20322
16079,Shoshone County,ID,0,COAL,0,7,10735,18650
16081,Teton County,ID,0,COAL,2,10,11530,22152
16083,Twin Falls County,ID,0,COAL,0,8,11029,20299
16085,Valley County,ID,0,COAL,2,8,10618,20653
16087,Washington County,ID,0,COAL,2,5,11316,20788
17001,Adams County,IL,0,NUCLEAR,1,7,10954,20428
17003,Alexander County,IL,0,NUCLEAR,3,8,10389,19509
17005,Bond County,IL,0,NUCLEAR,3,7,10945,20490
17007,Boone County,IL,0,NUCLEAR,3,7,10889,19829
17009,Brown County,IL,0,NUCLEAR,3,8,9852,18475
17011,Bureau County,IL,0,NUCLEAR,3,8,10402,19573
17013,Calhoun County,IL,0,NUCLEAR,2,7,10552,19888
17015,Carroll County,IL,0,NUCLEAR,3,7,10594,19223
17017,Cass County,IL,0,NUCLEAR,2,8,10694,20796
17019,Champaign County,IL,0,NUCLEAR,1,8,10532,19819
17021,Christian County,IL,0,NUCLEAR,2,6,10696,20573
17023,Clark County,IL,0,NUCLEAR,2,7,11206,21100
17025,Clay County,IL,0,NUCLEAR,1,8,11452,21249
17027,Clinton County,IL,0,NUCLEAR,2,7,11129,21049
17029,Coles County,IL,0,NUCLEAR,1,7,10536,19289
17031,Cook County,IL,0,NUCLEAR,2,7,10635,19620
17033,Crawford County,IL,0,NUCLEAR,3,7,11074,20223
17035,Cumberland County,IL,0,NUCLEAR,3,6,10307,20658
17037,DeKalb County,IL,0,NUCLEAR,2,8,10883,20741
17039,De Witt County,IL,0,NUCLEAR,3,10,10657,19096
17041,Douglas County,IL,0,NUCLEAR,2,9,11044,20040
17043,DuPage County,IL,0,NUCLEAR,3,7,10780,19397
17045,Edgar County,IL,0,NUCLEAR,0,9,11571,21054
17047,Edwards County,IL,0,NUCLEAR,2,6,11852,21142
17049,Effingham County,IL,0,NUCLEAR,1,7,10008,19370
17051,Fayette County,IL,0,NUCLEAR,2,5,10799,20189
17053,Ford County,IL,0,NUCLEAR,0,8,10879,20545
17055,Franklin County,IL,0,NUCLEAR,4,8,11656,21041
17057,Fulton County,IL,0,NUCLEAR,1,6,11004,20538
17059,Gallatin County,IL,0,NUCLEAR,0,8,10595,19455
17061,Greene County,IL,0,NUCLEAR,0,8,10785,20097
17063,Grundy County,IL,0,NUCLEAR,3,7,10762,18490
17065,Hamilton County,IL,0,NUCLEAR,1,9,10656,20324
17067,Hancock County,IL,0,NUCLEAR,1,7,11028,19824
17069,Hardin County,IL,0,NUCLEAR,1,8,10703,19705
17071,Henderson County,IL,0,NUCLEAR,1,6,10331,18373
17073,Henry County,IL,0,NUCLEAR,2,8,11065,19809
17075,Iroquois County,IL,0,NUCLEAR,0,7,10840,20258
17077,Jackson County,IL,0,NUCLEAR,0,8,11231,20240
17079,Jasper County,IL,0,NUCLEAR,2,9,10466,19982
17081,Jefferson County,IL,0,NUCLEAR,2,10,10824,20011
17083,Jersey County,IL,0,NUCLEAR,2,7,11067,20022
17085,Jo Daviess County,IL,0,NUCLEAR,3,9,10909,19756
17087,Johnson County,IL,0,NUCLEAR,2,8,10852,20591
17089,Kane County,IL,0,NUCLEAR,3,7,11683,20529
17091,Kankakee County,IL,0,NUCLEAR,3,6,10979,21008
17093,Kendall County,IL,0,NUCLEAR,4,9,10956,20003
17095,Knox County,IL,0,NUCLEAR,1,7,10688,19250
17097,Lake County,IL,0,NUCLEAR,2,8,10739,20096
17099,LaSalle County,IL,0,NUCLEAR,1,9,11255,20049
17101,Lawrence County,IL,1,NUCLEAR,1,9,10754,19396
17103,Lee County,IL,1,NUCLEAR,2,9,10959,19369
17105,Livingston County,IL,1,NUCLEAR,4,7,10508,19496.6
17107,Logan County,IL,1,NUCLEAR,3,9,10538,18852.4
17109,McDonough County,IL,1,NUCLEAR,2,11,9365,17350
17111,McHenry County,IL,1,NUCLEAR,3,10,9735,19998.4
17113,McLean County,IL,1,NUCLEAR,1,10,10512,20229
17115,Macon County,IL,1,NUCLEAR,3,11,10954,19378.4
17117,Macoupin County,IL,1,NUCLEAR,2,12,10602,18587
17119,Madison County,IL,1,NUCLEAR,2,11,11277,20032
17121,Marion County,IL,1,NUCLEAR,3,11,10836,19623.801
17123,Marshall County,IL,1,NUCLEAR,1,10,11667,20106
17125,Mason County,IL,1,NUCLEAR,2,10,11299,20115
17127,Massac County,IL,1,NUCLEAR,2,10,10472,19284
17129,Menard County,IL,1,NUCLEAR,2,10,10815,19982
17131,Mercer County,IL,1,NUCLEAR,2,11,10592,19236
17133,Monroe County,IL,1,NUCLEAR,3,10,11436,19251.199
17135,Montgomery County,IL,1,NUCLEAR,0,10,10556,19119.5
17137,Morgan County,IL,1,NUCLEAR,1,9,11660,19938
17139,Moultrie County,IL,1,NUCLEAR,1,9,11185,19297
17141,Ogle County,IL,1,NUCLEAR,3,11,10372,18856.4
17143,Peoria County,IL,1,NUCLEAR,2,9,10899,19240
17145,Perry County,IL,1,NUCLEAR,3,8,10723,19464
17147,Piatt County,IL,1,NUCLEAR,1,9,10986,19125
17149,Pike County,IL,1,NUCLEAR,2,10,10665,19935
17151,Pope County,IL,1,NUCLEAR,1,9,11273,20550
17153,Pulaski County,IL,1,NUCLEAR,3,9,11281,20695
17155,Putnam County,IL,1,NUCLEAR,2,9,10400,19316
17157,Randolph County,IL,1,NUCLEAR,2,9,11096,20149
17159,Richland County,IL,1,NUCLEAR,2,10,11142,19870
17161,Rock Island County,IL,1,NUCLEAR,4,11,11082,19819.4
17163,St. Clair County,IL,1,NUCLEAR,1,10,10012,19199
17165,Saline County,IL,1,NUCLEAR,4,10,10730,19228.801
17167,Sangamon County,IL,1,NUCLEAR,1,9,10799,19420
17169,Schuyler County,IL,1,NUCLEAR,2,9,12083,20748
17171,Scott County,IL,1,NUCLEAR,2,10,11300,19762
17173,Shelby County,IL,1,NUCLEAR,3,10,10761,20311.4
17175,Stark County,IL,1,NUCLEAR,2,10,10882,19598
17177,Stephenson County,IL,1,NUCLEAR,2,9,10965,20041
17179,Tazewell County,IL,1,NUCLEAR,0,10,10115,18813.5
17181,Union County,IL,1,NUCLEAR,2,9,10452,19125
17183,Vermilion County,IL,1,NUCLEAR,3,9,10536,19898.199
17185,Wabash County,IL,1,NUCLEAR,0,10,11419,20011.5
17187,Warren County,IL,1,NUCLEAR,0,11,11170,20183.5
17189,Washington County,IL,1,NUCLEAR,3,10,10714,18656.6
17191,Wayne County,IL,1,NUCLEAR,2,10,11180,19220
17193,White County,IL,1,NUCLEAR,1,10,10066,17769
17195,Whiteside County,IL,1,NUCLEAR,0,8,11036,20008
17197,Will County,IL,1,NUCLEAR,3,10,11791,19756.6
17199,Williamson County,IL,1,NUCLEAR,2,10,10354,18100
17201,Winnebago County,IL,0,NUCLEAR,4,5,10259,19655
17203,Woodford County,IL,0,NUCLEAR,1,8,9788,18932
18001,Adams County,IN,0,COAL,4,8,10753,19627
18003,Allen County,IN,0,COAL,3,7,10584,19522
18005,Bartholomew County,IN,0,COAL,0,7,11114,19310
18007,Benton County,IN,0,COAL,3,10,10320,19954
18009,Blackford County,IN,0,COAL,2,8,11393,21129
18011,Boone County,IN,0,COAL,2,7,10406,19842
18013,Brown County,IN,0,COAL,1,8,11789,21468
18015,Carroll County,IN,0,COAL,2,8,10728,18997
18017,Cass County,IN,0,COAL,1,7,10827,20850
18019,Clark County,IN,0,COAL,4,6,10623,20539
18021,Clay County,IN,0,COAL,1,7,10552,19887
18023,Clinton County,IN,0,COAL,2,8,10514,20206
18025,Crawford County,IN,0,COAL,1,8,11274,20820
18027,Daviess County,IN,0,COAL,2,8,10867,19070
18029,Dearborn County,IN,0,COAL,3,7,10507,20889
18031,Decatur County,IN,0,COAL,2,8,10912,20922
18033,DeKalb County,IN,0,COAL,1,7,10842,19811
18035,Delaware County,IN,0,COAL,2,7,10634,19870
18037,Dubois County,IN,0,COAL,0,8,10576,19862
18039,Elkhart County,IN,0,COAL,0,6,10750,19266
18041,Fayette County,IN,0,COAL,3,6,10799,20864
18043,Floyd County,IN,0,COAL,2,6,10834,19925
18045,Fountain County,IN,0,COAL,2,8,10751,20265
18047,Franklin County,IN,0,COAL,1,6,11128,20640
18049,Fulton County,IN,0,COAL,0,6,11047,20535
18051,Gibson County,IN,0,COAL,1,7,11019,20141
18053,Grant County,IN,0,COAL,1,8,11042,19645
18055,Greene County,IN,0,COAL,2,6,10671,20135
18057,Hamilton County,IN,0,COAL,1,7,11486,20747
18059,Hancock County,IN,0,COAL,3,6,10943,19487
18061,Harrison County,IN,0,COAL,1,7,10354,20337
18063,Hendricks County,IN,0,COAL,1,8,11297,20196
18065,Henry County,IN,0,COAL,1,9,10728,19608
18067,Howard County,IN,0,COAL,2,9,11601,20629
18069,Huntington County,IN,0,COAL,3,7,10325,19324
18071,Jackson County,IN,0,COAL,3,9,11172,21175
18073,Jasper County,IN,0,COAL,2,9,10520,20267
18075,Jay County,IN,0,COAL,1,9,11053,20830
18077,Jefferson County,IN,0,COAL,2,6,11735,20432
18079,Jennings County,IN,0,COAL,2,8,10982,19091
18081,Johnson County,IN,0,COAL,1,8,11200,21114
18083,Knox County,IN,0,COAL,1,8,11652,20417
18085,Kosciusko County,IN,0,COAL,1,9,11100,20888
18087,LaGrange County,IN,0,COAL,1,7,10657,19796
18089,Lake County,IN,0,COAL,1,7,11051,20588
18091,LaPorte County,IN,0,COAL,3,7,11281,20603
18093,Lawrence County,IN,0,COAL,2,8,11309,20817
18095,Madison County,IN,0,COAL,2,9,11925,22108
18097,Marion County,IN,0,COAL,2,9,11652,21392
18099,Marshall County,IN,0,COAL,1,7,10529,19117
18101,Martin County,IN,1,COAL,0,8,9846,19004.5
18103,Miami County,IN,1,COAL,2,11,10951,20325
18105,Monroe County,IN,1,COAL,2,9,11310,19655
18107,Montgomery County,IN,1,COAL,1,10,11297,20725
18109,Morgan County,IN,1,COAL,2,8,10680,19115
18111,Newton County,IN,1,COAL,1,10,10983,18654
18113,Noble County,IN,1,COAL,1,10,10308,19472
18115,Ohio County,IN,1,COAL,2,9,11128,19218
18117,Orange County,IN,1,COAL,0,8,10822,20027
18119,Owen County,IN,1,COAL,2,9,11115,18757
18121,Parke County,IN,1,COAL,1,9,11511,20212
18123,Perry County,IN,1,COAL,2,10,9650,17702
18125,Pike County,IN,1,COAL,2,10,10962,19516
18127,Porter County,IN,1,COAL,2,9,11101,19104
18129,Posey County,IN,1,COAL,2,8,10630,19526
18131,Pulaski County,IN,1,COAL,2,9,10875,19813
18133,Putnam County,IN,1,COAL,2,10,10620,19351
18135,Randolph County,IN,1,COAL,2,10,10604,18531
18137,Ripley County,IN,1,COAL,2,9,11240,19689
18139,Rush County,IN,1,COAL,0,9,11067,21190
18141,St. Joseph County,IN,1,COAL,3,9,10423,19170
18143,Scott County,IN,1,COAL,2,8,10869,19216
18145,Shelby County,IN,1,COAL,1,9,11034,19713
18147,Spencer County,IN,1,COAL,3,8,10928,19435.801
18149,Starke County,IN,1,COAL,3,9,11428,20628.199
18151,Steuben County,IN,1,COAL,2,8,10925,20005
18153,Sullivan County,IN,1,COAL,2,6,10096,18512
18155,Switzerland County,IN,1,COAL,1,9,10367,19749
18157,Tippecanoe County,IN,1,COAL,3,10,11542,19814.801
18159,Tipton County,IN,1,COAL,2,10,10388,19581
18161,Union County,IN,1,COAL,2,8,10895,19375
18163,Vanderburgh County,IN,1,COAL,3,10,10632,19151.4
18165,Vermillion County,IN,1,COAL,1,10,10981,19130
18167,Vigo County,IN,1,COAL,3,10,10025,18895
18169,Wabash County,IN,1,COAL,1,10,11087,20388
18171,Warren County,IN,1,COAL,1,10,10770,19540
18173,Warrick County,IN,1,COAL,1,11,10790,19776
18175,Washington County,IN,1,COAL,1,9,11684,20933
18177,Wayne County,IN,1,COAL,1,10,9979,18786
18179,Wells County,IN,1,COAL,3,10,10367,18540.801
18181,White County,IN,1,COAL,3,9,10600,19677.4
18183,Whitley County,IN,1,COAL,1,9,10790,19064
19001,Adair County,IA,0,WIND,1,6,11089,20616
19003,Adams County,IA,0,WIND,2,7,9856,19726
19005,Allamakee County,IA,0,WIND,2,9,11192,21079
19007,Appanoose County,IA,0,WIND,2,8,10410,18866
19009,Audubon County,IA,0,WIND,1,8,11132,20740
19011,Benton County,IA,0,WIND,0,6,10807,20178
19013,Black Hawk County,IA,0,WIND,0,8,10451,20189
19015,Boone County,IA,0,WIND,3,8,10612,20354
19017,Bremer County,IA,0,WIND,1,7,10592,19609
19019,Buchanan County,IA,0,WIND,1,8,10913,20176
19021,Buena Vista County,IA,0,WIND,1,9,10658,19408
19023,Butler County,IA,0,WIND,2,6,11226,21300
19025,Calhoun County,IA,0,WIND,2,7,10732,20030
19027,Carroll County,IA,0,WIND,1,7,11317,19847
19029,Cass County,IA,0,WIND,1,8,10184,19448
19031,Cedar County,IA,0,WIND,2,8,10985,20897
19033,Cerro Gordo County,IA,0,WIND,3,9,10398,18818
19035,Cherokee County,IA,0,WIND,2,7,10214,19559
19037,Chickasaw County,IA,0,WIND,1,6,10699,20312
19039,Clarke County,IA,0,WIND,2,6,9821,19115
19041,Clay County,IA,0,WIND,2,7,11097,19871
19043,Clayton County,IA,0,WIND,3,7,9936,19595
19045,Clinton County,IA,0,WIND,1,8,11163,20219
19047,Crawford County,IA,0,WIND,0,7,11063,20170
19049,Dallas County,IA,0,WIND,2,7,10684,20304
19051,Davis County,IA,0,WIND,1,7,11099,19854
19053,Decatur County,IA,0,WIND,3,7,11740,20809
19055,Delaware County,IA,0,WIND,3,7,11760,21045
19057,Des Moines County,IA,0,WIND,1,8,11590,21535
19059,Dickinson County,IA,0,WIND,0,8,10724,19703
19061,Dubuque County,IA,0,WIND,2,8,10670,19691
19063,Emmet County,IA,0,WIND,0,7,11863,19738
19065,Fayette County,IA,0,WIND,3,9,11307,20137
19067,Floyd County,IA,0,WIND,1,7,11667,21678
19069,Franklin County,IA,0,WIND,1,6,11205,20328
19071,Fremont County,IA,0,WIND,2,6,10218,19915
19073,Greene County,IA,0,WIND,1,9,11803,21179
19075,Grundy County,IA,0,WIND,1,7,11839,20958
19077,Guthrie County,IA,0,WIND,1,8,11606,21241
19079,Hamilton County,IA,0,WIND,0,7,11298,20609
19081,Hancock County,IA,0,WIND,0,7,10867,20086
19083,Hardin County,IA,0,WIND,1,8,10669,20387
19085,Harrison County,IA,0,WIND,3,9,10709,19635
19087,Henry County,IA,0,WIND,1,6,11796,21045
19089,Howard County,IA,0,WIND,1,6,10738,19540
19091,Humboldt County,IA,0,WIND,1,8,10791,19383
19093,Ida County,IA,0,WIND,1,9,11820,20559
19095,Iowa County,IA,0,WIND,3,7,11221,20369
19097,Jackson County,IA,0,WIND,3,8,10993,20471
19099,Jasper County,IA,0,WIND,2,7,11591,21595
19101,Jefferson County,IA,1,WIND,1,10,11936,20989
19103,Johnson County,IA,1,WIND,1,10,11243,21540
19105,Jones County,IA,1,WIND,2,9,10794,20288
19107,Keokuk County,IA,1,WIND,0,10,11217,21838.5
19109,Kossuth County,IA,1,WIND,2,10,10060,20344
19111,Lee County,IA,1,WIND,1,10,11409,25059
19113,Linn County,IA,1,WIND,2,9,10142,22288
19115,Louisa County,IA,1,WIND,2,8,10753,22434
19117,Lucas County,IA,1,WIND,2,8,10323,21872
19119,Lyon County,IA,1,WIND,1,10,10928,20764
19121,Madison County,IA,1,WIND,2,11,11021,23590
19123,Mahaska County,IA,1,WIND,2,11,11224,22592
19125,Marion County,IA,1,WIND,2,10,11149,23142
19127,Marshall County,IA,1,WIND,1,8,10364,21523
19129,Mills County,IA,1,WIND,3,9,11713,25515.199
19131,Mitchell County,IA,1,WIND,1,10,10757,22721
19133,Monona County,IA,1,WIND,2,9,10509,21028
19135,Monroe County,IA,1,WIND,2,7,11186,24686
19137,Montgomery County,IA,1,WIND,4,10,10557,25304.4
19139,Muscatine County,IA,1,WIND,1,9,10885,22077
19141,O'Brien County,IA,1,WIND,1,9,10510,23575
19143,Osceola County,IA,1,WIND,0,11,12059,20892.5
19145,Page County,IA,1,WIND,2,9,11175,22746
19147,Palo Alto County,IA,1,WIND,0,10,10198,20032
19149,Plymouth County,IA,1,WIND,1,9,10466,21161
19151,Pocahontas County,IA,1,WIND,3,10,10715,21356.6
19153,Polk County,IA,1,WIND,2,11,10462,22973
19155,Pottawattamie County,IA,1,WIND,3,11,11605,23901.801
19157,Poweshiek County,IA,1,WIND,2,11,11117,20863
19159,Ringgold County,IA,1,WIND,2,9,10554,23158
19161,Sac County,IA,1,WIND,2,10,10165,22987
19163,Scott County,IA,1,WIND,1,9,10944,20610
19165,Shelby County,IA,1,WIND,3,8,11306,25931.6
19167,Sioux County,IA,1,WIND,3,10,11388,22669
19169,Story County,IA,1,WIND,3,11,11477,23107.4
19171,Tama County,IA,1,WIND,3,11,11703,25571
19173,Taylor County,IA,1,WIND,1,10,10617,19934
19175,Union County,IA,1,WIND,2,10,11101,22426
19177,Van Buren County,IA,1,WIND,2,9,10397,21079
19179,Wapello County,IA,1,WIND,2,8,10686,20632
19181,Warren County,IA,1,WIND,2,8,11472,24853
19183,Washington County,IA,1,WIND,1,9,10657,20137
19185,Wayne County,IA,1,WIND,2,10,11618,25700
19187,Webster County,IA,1,WIND,1,11,12245,25726
19189,Winnebago County,IA,1,WIND,2,11,10301,21204
19191,Winneshiek County,IA,1,WIND,2,8,11073,23987
19193,Woodbury County,IA,1,WIND,1,8,10849,20573
19195,Worth County,IA,1,WIND,2,10,11024,24132
19197,Wright County,IA,1,WIND,2,10,11201,25289
20001,Allen County,KS,0,COAL,1,7,11343,19747
20003,Anderson County,KS,0,COAL,1,7,10728,19963
20005,Atchison County,KS,0,COAL,1,9,11017,20662
20007,Barber County,KS,0,COAL,1,7,10368,18967
20009,Barton County,KS,0,COAL,3,7,11157,20555
20011,Bourbon County,KS,0,COAL,1,6,10135,19108
20013,Brown County,KS,0,COAL,0,8,11184,19785
20015,Butler County,KS,0,COAL,3,8,11073,20270
20017,Chase County,KS,0,COAL,3,7,10097,19444
20019,Chautauqua County,KS,0,COAL,3,7,9796,19196
20021,Cherokee County,KS,0,COAL,3,5,10631,19868
20023,Cheyenne County,KS,0,COAL,1,8,10802,20586
20025,Clark County,KS,0,COAL,2,8,10533,18521
20027,Clay County,KS,0,COAL,1,7,10868,19092
20029,Cloud County,KS,0,COAL,3,8,11409,20001
20031,Coffey County,KS,0,COAL,3,9,10689,20030
20033,Comanche County,KS,0,COAL,0,9,11588,20755
20035,Cowley County,KS,0,COAL,3,9,10642,20635
20037,Crawford County,KS,0,COAL,2,7,10353,20153
20039,Decatur County,KS,0,COAL,2,9,10475,19600
20041,Dickinson County,KS,0,COAL,1,8,10488,20195
20043,Doniphan County,KS,0,COAL,2,8,11385,19916
20045,Douglas County,KS,0,COAL,3,7,10624,19589
20047,Edwards County,KS,0,COAL,1,7,11461,20381
20049,Elk County,KS,0,COAL,3,7,11319,20454
20051,Ellis County,KS,0,COAL,2,6,11181,19554
20053,Ellsworth County,KS,0,COAL,2,8,11669,21095
20055,Finney County,KS,0,COAL,3,8,11508,20026
20057,Ford County,KS,0,COAL,4,7,11985,20653
20059,Franklin County,KS,0,COAL,1,8,12328,21201
20061,Geary County,KS,0,COAL,2,7,10534,19937
20063,Gove County,KS,0,COAL,2,7,10961,20751
20065,Graham County,KS,0,COAL,2,9,11128,20602
20067,Grant County,KS,0,COAL,2,7,10399,19710
20069,Gray County,KS,0,COAL,1,10,10738,20194
20071,Greeley County,KS,0,COAL,1,7,10816,19975
20073,Greenwood County,KS,0,COAL,3,6,10637,19552
20075,Hamilton County,KS,0,COAL,2,8,10560,19027
20077,Harper County,KS,0,COAL,1,8,11359,20066
20079,Harvey County,KS,0,COAL,1,7,10797,19393
20081,Haskell County,KS,0,COAL,1,8,11950,21349
20083,Hodgeman County,KS,0,COAL,2,7,10240,18819
20085,Jackson County,KS,0,COAL,1,7,10799,19420
20087,Jefferson County,KS,0,COAL,3,6,10504,19408
20089,Jewell County,KS,0,COAL,0,9,10886,19404
20091,Johnson County,KS,0,COAL,2,9,10062,19810
20093,Kearny County,KS,0,COAL,1,7,10349,18282
20095,Kingman County,KS,0,COAL,2,7,11103,20934
20097,Kiowa County,KS,0,COAL,2,8,11058,19092
20099,Labette County,KS,0,COAL,2,8,10916,19311
20101,Lane County,KS,1,COAL,0,8,11178,19437
20103,Leavenworth County,KS,1,COAL,2,11,10746,18913
20105,Lincoln County,KS,1,COAL,1,9,10970,18560
20107,Linn County,KS,1,COAL,2,8,10434,18433
20109,Logan County,KS,1,COAL,0,12,10997,19472.5
20111,Lyon County,KS,1,COAL,3,9,11185,19470.801
20113,McPherson County,KS,1,COAL,1,10,10963,19772
20115,Marion County,KS,1,COAL,1,11,11310,20629
20117,Marshall County,KS,1,COAL,1,9,10361,18892
20119,Meade County,KS,1,COAL,0,8,11595,20223.5
20121,Miami County,KS,1,COAL,2,11,10432,19665
20123,Mitchell County,KS,1,COAL,2,9,11292,19935
20125,Montgomery County,KS,1,COAL,3,7,10949,18993.801
20127,Morris County,KS,1,COAL,2,11,10889,19419
20129,Morton County,KS,1,COAL,3,8,10983,19687
20131,Nemaha County,KS,1,COAL,2,10,10057,19378
20133,Neosho County,KS,1,COAL,1,9,11028,18965
